entity_id,state,last_changed
sensor.everything_presence_one_0428b0_co2,307.5830479075,2026-02-21T00:00:00.000Z
sensor.everything_presence_one_0428b0_co2,347.31045804416664,2026-02-21T01:00:00.000Z
sensor.everything_presence_one_0428b0_co2,357.1037713552778,2026-02-21T02:00:00.000Z
sensor.everything_presence_one_0428b0_co2,197.19339262805556,2026-02-21T03:00:00.000Z
sensor.everything_presence_one_0428b0_co2,115.51768941249999,2026-02-21T04:00:00.000Z
sensor.everything_presence_one_0428b0_co2,43.0,2026-02-21T04:12:04.803Z
sensor.everything_presence_one_0428b0_co2,44.0,2026-02-21T04:14:04.824Z
sensor.everything_presence_one_0428b0_co2,45.0,2026-02-21T04:15:04.814Z
sensor.everything_presence_one_0428b0_co2,43.0,2026-02-21T04:16:04.813Z
sensor.everything_presence_one_0428b0_co2,41.0,2026-02-21T04:18:04.824Z
sensor.everything_presence_one_0428b0_co2,37.0,2026-02-21T04:19:04.827Z
sensor.everything_presence_one_0428b0_co2,35.0,2026-02-21T04:20:04.834Z
sensor.everything_presence_one_0428b0_co2,34.0,2026-02-21T04:21:04.830Z
sensor.everything_presence_one_0428b0_co2,33.0,2026-02-21T04:22:04.831Z
sensor.everything_presence_one_0428b0_co2,32.0,2026-02-21T04:23:04.834Z
sensor.everything_presence_one_0428b0_co2,29.0,2026-02-21T04:24:04.835Z
sensor.everything_presence_one_0428b0_co2,26.0,2026-02-21T04:26:04.799Z
sensor.everything_presence_one_0428b0_co2,27.0,2026-02-21T04:28:04.844Z
sensor.everything_presence_one_0428b0_co2,28.0,2026-02-21T04:29:04.849Z
sensor.everything_presence_one_0428b0_co2,26.0,2026-02-21T04:30:04.851Z
sensor.everything_presence_one_0428b0_co2,24.0,2026-02-21T04:31:04.847Z
sensor.everything_presence_one_0428b0_co2,21.0,2026-02-21T04:32:04.865Z
sensor.everything_presence_one_0428b0_co2,20.0,2026-02-21T04:34:04.859Z
sensor.everything_presence_one_0428b0_co2,19.0,2026-02-21T04:35:04.862Z
sensor.everything_presence_one_0428b0_co2,16.0,2026-02-21T04:36:04.866Z
sensor.everything_presence_one_0428b0_co2,13.0,2026-02-21T04:38:04.875Z
sensor.everything_presence_one_0428b0_co2,12.0,2026-02-21T04:39:04.874Z
sensor.everything_presence_one_0428b0_co2,11.0,2026-02-21T04:40:04.875Z
sensor.everything_presence_one_0428b0_co2,10.0,2026-02-21T04:41:04.879Z
sensor.everything_presence_one_0428b0_co2,8.0,2026-02-21T04:42:04.882Z
sensor.everything_presence_one_0428b0_co2,7.0,2026-02-21T04:43:04.883Z
sensor.everything_presence_one_0428b0_co2,10.0,2026-02-21T04:44:04.888Z
sensor.everything_presence_one_0428b0_co2,7.0,2026-02-21T04:45:04.888Z
sensor.everything_presence_one_0428b0_co2,6.0,2026-02-21T04:46:04.887Z
sensor.everything_presence_one_0428b0_co2,5.0,2026-02-21T04:47:04.894Z
sensor.everything_presence_one_0428b0_co2,4.0,2026-02-21T04:48:04.895Z
sensor.everything_presence_one_0428b0_co2,3.0,2026-02-21T04:50:04.897Z
sensor.everything_presence_one_0428b0_co2,2.0,2026-02-21T04:51:04.896Z
sensor.everything_presence_one_0428b0_co2,1.0,2026-02-21T04:53:04.904Z
sensor.everything_presence_one_0428b0_co2,2.0,2026-02-21T04:54:04.907Z
sensor.everything_presence_one_0428b0_co2,1.0,2026-02-21T04:55:04.912Z
sensor.everything_presence_one_0428b0_co2,0.0,2026-02-21T04:58:04.919Z
sensor.everything_presence_one_0428b0_co2,3.0,2026-02-21T23:21:07.356Z
sensor.everything_presence_one_0428b0_co2,28.0,2026-02-21T23:22:07.346Z
sensor.everything_presence_one_0428b0_co2,35.0,2026-02-21T23:23:07.363Z
sensor.everything_presence_one_0428b0_co2,38.0,2026-02-21T23:24:07.363Z
sensor.everything_presence_one_0428b0_co2,40.0,2026-02-21T23:25:07.370Z
