entity_id,state,last_changed
light.sonoff_kitchen_relay,on,2026-02-21T17:48:55.157Z
light.sonoff_kitchen_relay,off,2026-02-21T17:59:29.832Z
light.sonoff_kitchen_relay,on,2026-02-21T19:39:34.343Z
light.sonoff_kitchen_relay,off,2026-02-21T19:41:43.008Z
light.sonoff_kitchen_relay,on,2026-02-21T21:39:23.458Z
light.sonoff_kitchen_relay,off,2026-02-21T21:40:05.450Z
light.sonoff_kitchen_relay,on,2026-02-21T23:01:58.938Z
light.sonoff_kitchen_relay,off,2026-02-21T23:04:04.165Z
light.sonoff_kitchen_relay,on,2026-02-21T23:08:31.199Z
light.sonoff_kitchen_relay,off,2026-02-21T23:09:06.348Z
light.sonoff_kitchen_relay,on,2026-02-22T00:07:09.591Z
light.sonoff_kitchen_relay,off,2026-02-22T00:08:19.867Z
light.sonoff_kitchen_relay,on,2026-02-22T00:11:28.066Z
light.sonoff_kitchen_relay,off,2026-02-22T00:11:32.625Z
light.sonoff_kitchen_relay,on,2026-02-22T00:15:57.067Z
light.sonoff_kitchen_relay,off,2026-02-22T00:16:09.692Z
light.sonoff_kitchen_relay,unavailable,2026-02-22T00:19:36.068Z
light.sonoff_kitchen_relay,off,2026-02-22T00:20:01.567Z
light.sonoff_kitchen_relay,on,2026-02-22T01:21:58.759Z
light.sonoff_kitchen_relay,off,2026-02-22T01:22:11.344Z
light.sonoff_kitchen_relay,on,2026-02-22T16:38:28.497Z
light.sonoff_kitchen_relay,off,2026-02-22T16:51:27.322Z
light.sonoff_kitchen_relay,on,2026-02-22T17:54:45.066Z
light.sonoff_kitchen_relay,off,2026-02-22T17:55:02.416Z
light.sonoff_kitchen_relay,on,2026-02-22T18:04:31.730Z
light.sonoff_kitchen_relay,off,2026-02-22T18:06:39.296Z
light.sonoff_kitchen_relay,on,2026-02-22T18:23:39.686Z
light.sonoff_kitchen_relay,off,2026-02-22T18:26:20.210Z
light.sonoff_kitchen_relay,on,2026-02-22T18:26:44.708Z
light.sonoff_kitchen_relay,off,2026-02-22T18:27:08.593Z
light.sonoff_kitchen_relay,on,2026-02-22T18:27:26.126Z
light.sonoff_kitchen_relay,off,2026-02-22T18:27:41.103Z
light.sonoff_kitchen_relay,on,2026-02-22T19:25:21.654Z
light.sonoff_kitchen_relay,off,2026-02-22T19:27:14.887Z
light.sonoff_kitchen_relay,on,2026-02-22T20:25:10.958Z
light.sonoff_kitchen_relay,off,2026-02-22T20:50:45.740Z
light.sonoff_kitchen_relay,on,2026-02-22T21:44:56.757Z
light.sonoff_kitchen_relay,off,2026-02-22T21:45:57.628Z
light.sonoff_kitchen_relay,on,2026-02-22T21:50:28.520Z
light.sonoff_kitchen_relay,off,2026-02-22T21:54:32.474Z
light.sonoff_kitchen_relay,on,2026-02-22T21:58:01.991Z
light.sonoff_kitchen_relay,off,2026-02-22T22:00:54.519Z
light.sonoff_kitchen_relay,on,2026-02-22T22:12:50.663Z
light.sonoff_kitchen_relay,off,2026-02-22T22:13:07.379Z
light.sonoff_kitchen_relay,on,2026-02-22T22:19:56.918Z
light.sonoff_kitchen_relay,off,2026-02-22T22:24:05.523Z
light.sonoff_kitchen_relay,on,2026-02-22T22:24:25.298Z
light.sonoff_kitchen_relay,off,2026-02-22T22:24:33.758Z
light.sonoff_kitchen_relay,on,2026-02-22T22:24:46.980Z
light.sonoff_kitchen_relay,off,2026-02-22T22:25:31.952Z
light.sonoff_kitchen_relay,on,2026-02-22T22:48:17.380Z
light.sonoff_kitchen_relay,off,2026-02-22T22:50:32.170Z
light.sonoff_kitchen_relay,on,2026-02-22T22:59:53.708Z
light.sonoff_kitchen_relay,off,2026-02-22T23:01:30.237Z
light.sonoff_kitchen_relay,on,2026-02-23T00:01:40.997Z
light.sonoff_kitchen_relay,off,2026-02-23T00:04:47.537Z
light.sonoff_kitchen_relay,on,2026-02-23T00:16:13.855Z
light.sonoff_kitchen_relay,off,2026-02-23T00:20:10.839Z
light.sonoff_kitchen_relay,on,2026-02-23T15:33:35.293Z
light.sonoff_kitchen_relay,off,2026-02-23T15:35:54.564Z
light.sonoff_kitchen_relay,on,2026-02-23T17:24:36.040Z
light.sonoff_kitchen_relay,off,2026-02-23T17:26:24.815Z
light.sonoff_kitchen_relay,on,2026-02-23T19:34:17.850Z
light.sonoff_kitchen_relay,off,2026-02-23T19:36:13.820Z
light.sonoff_kitchen_relay,on,2026-02-23T19:38:49.329Z
light.sonoff_kitchen_relay,off,2026-02-23T19:39:48.183Z
light.sonoff_kitchen_relay,on,2026-02-23T19:41:58.454Z
light.sonoff_kitchen_relay,off,2026-02-23T19:44:07.248Z
light.sonoff_kitchen_relay,on,2026-02-23T20:50:16.900Z
light.sonoff_kitchen_relay,off,2026-02-23T20:50:58.102Z
light.sonoff_kitchen_relay,on,2026-02-23T20:52:14.890Z
light.sonoff_kitchen_relay,off,2026-02-23T20:52:39.123Z
light.sonoff_kitchen_relay,on,2026-02-23T20:56:30.293Z
light.sonoff_kitchen_relay,off,2026-02-23T20:57:16.880Z
light.sonoff_kitchen_relay,on,2026-02-23T22:41:34.668Z
light.sonoff_kitchen_relay,off,2026-02-23T22:43:11.369Z
light.sonoff_kitchen_relay,on,2026-02-23T22:59:20.348Z
light.sonoff_kitchen_relay,off,2026-02-23T22:59:43.590Z
light.sonoff_kitchen_relay,on,2026-02-24T00:04:04.874Z
light.sonoff_kitchen_relay,off,2026-02-24T00:07:05.627Z
light.sonoff_kitchen_relay,on,2026-02-24T00:14:24.217Z
light.sonoff_kitchen_relay,off,2026-02-24T00:14:34.838Z
light.sonoff_kitchen_relay,on,2026-02-24T18:22:50.799Z
light.sonoff_kitchen_relay,off,2026-02-24T18:31:28.307Z
light.sonoff_kitchen_relay,on,2026-02-24T18:31:29.818Z
light.sonoff_kitchen_relay,off,2026-02-24T18:31:58.814Z
light.sonoff_kitchen_relay,on,2026-02-24T18:50:05.500Z
light.sonoff_kitchen_relay,off,2026-02-24T18:56:06.752Z
