entity_id,state,last_changed
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T05:44:41.804Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T05:44:46.813Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T09:12:30.443Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T09:12:32.491Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T09:13:27.484Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T09:14:05.573Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T09:19:24.897Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T09:20:16.986Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T09:21:31.048Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T09:21:42.077Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:10:43.545Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:11:29.625Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:11:30.567Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:11:33.619Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:12:18.675Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:12:26.662Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:12:44.686Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:12:52.679Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:13:41.731Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:13:46.740Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:22:45.407Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:22:50.410Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:23:41.484Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:23:44.456Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:23:56.470Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:24:06.489Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:24:36.576Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:25:03.612Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:25:23.583Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:33:14.146Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T10:36:04.406Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T10:38:24.591Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T11:25:22.879Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T11:25:26.882Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T11:30:27.228Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T11:30:31.225Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T11:45:13.282Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T11:45:58.338Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T11:48:24.467Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T11:48:33.477Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T11:59:07.235Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T11:59:12.253Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:00:25.367Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:00:30.309Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:01:30.396Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:01:35.409Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:03:57.550Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:04:01.556Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:07:36.790Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:07:39.854Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:07:54.818Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:10:00.963Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:10:43.050Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:12:21.150Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:17:38.491Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:17:41.489Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:17:53.544Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:17:56.513Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:24:33.009Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:25:01.989Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:25:15.015Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:25:19.010Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:25:27.077Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:25:29.028Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:25:34.040Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:25:37.031Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:53:50.006Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:54:30.058Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:55:05.094Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:55:08.138Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T12:59:22.399Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T12:59:25.397Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T13:37:39.059Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T13:37:43.062Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T13:56:37.374Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T13:56:39.386Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T14:06:53.094Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T14:06:57.104Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T14:06:58.095Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T14:07:01.098Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T14:31:36.866Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T14:31:39.835Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T14:32:55.924Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T14:32:58.912Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T15:05:47.245Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T15:05:50.212Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T15:06:49.296Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T15:06:52.266Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T15:23:32.416Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T15:23:35.418Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T15:29:26.886Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T15:29:28.162Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T17:48:37.523Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T17:48:52.578Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T17:49:11.551Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T17:49:23.604Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T17:56:26.110Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T17:58:24.281Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T17:59:36.375Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:01:44.475Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:02:02.498Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:02:07.515Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:02:38.545Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:03:24.623Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:05:25.763Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:11:25.192Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:14:35.452Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:14:47.433Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:20:13.786Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:21:22.914Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:25:39.144Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:29:27.469Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:32:43.668Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:33:29.749Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:43:22.445Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:48:24.764Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:48:52.792Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T18:51:51.071Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T18:51:54.041Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T19:16:58.934Z
binary_sensor.esphome_web_f81704_presence,on,2026-02-21T19:22:45.353Z
binary_sensor.esphome_web_f81704_presence,off,2026-02-21T19:25:43.526Z
