entity_id,state,last_changed
light.living_room_light_1_2,on,2026-02-21T10:23:46.258Z
light.living_room_light_1_2,off,2026-02-21T10:23:51.837Z
light.living_room_light_1_2,on,2026-02-21T17:48:29.239Z
light.living_room_light_1_2,off,2026-02-22T01:47:13.834Z
light.living_room_light_1_2,on,2026-02-22T16:31:21.052Z
light.living_room_light_1_2,off,2026-02-23T00:20:29.222Z
light.living_room_light_1_2,on,2026-02-23T15:33:23.202Z
light.living_room_light_1_2,off,2026-02-23T16:08:45.264Z
light.living_room_light_1_2,on,2026-02-23T17:24:22.684Z
light.living_room_light_1_2,off,2026-02-24T00:14:49.424Z
light.living_room_light_1_2,on,2026-02-24T18:22:26.955Z
light.living_room_light_1_2,off,2026-02-25T00:39:11.742Z
light.living_room_light_1_2,on,2026-02-25T16:01:59.704Z
light.living_room_light_1_2,off,2026-02-25T16:31:20.483Z
light.living_room_light_1_2,on,2026-02-25T18:59:58.707Z
light.living_room_light_1_2,off,2026-02-26T00:30:31.746Z
light.living_room_light_1_2,on,2026-02-26T08:03:21.558Z
light.living_room_light_1_2,off,2026-02-26T08:22:05.697Z
light.living_room_light_1_2,on,2026-02-26T16:31:36.515Z
light.living_room_light_1_2,off,2026-02-26T23:52:59.593Z
light.living_room_light_1_2,on,2026-02-27T12:54:22.431Z
light.living_room_light_1_2,off,2026-02-27T13:16:16.898Z
light.living_room_light_1_2,on,2026-02-27T14:51:52.827Z
light.living_room_light_1_2,off,2026-02-27T15:29:40.067Z
light.living_room_light_1_2,on,2026-02-27T16:15:15.595Z
light.living_room_light_1_2,off,2026-02-27T17:12:59.648Z
light.living_room_light_1_2,on,2026-02-27T18:18:57.643Z
light.living_room_light_1_2,off,2026-02-28T01:22:32.912Z
light.living_room_light_1_2,on,2026-02-28T10:20:17.467Z
light.living_room_light_1_2,off,2026-02-28T13:23:07.363Z
light.living_room_light_1_2,on,2026-02-28T14:27:01.195Z
light.living_room_light_1_2,off,2026-02-28T15:58:43.938Z
light.living_room_light_1_2,on,2026-02-28T16:54:49.936Z
light.living_room_light_1_2,off,2026-02-28T17:01:38.577Z
light.living_room_light_1_2,on,2026-02-28T20:59:06.122Z
light.living_room_light_1_2,off,2026-03-01T01:17:46.490Z
light.living_room_light_1_2,on,2026-03-01T10:08:21.742Z
light.living_room_light_1_2,off,2026-03-01T18:33:36.309Z
light.living_room_light_1_2,on,2026-03-01T18:48:30.941Z
light.living_room_light_1_2,off,2026-03-02T00:56:23.611Z
light.living_room_light_1_2,on,2026-03-02T00:56:32.714Z
light.living_room_light_1_2,off,2026-03-02T00:56:54.431Z
light.living_room_light_1_2,on,2026-03-02T13:42:11.186Z
light.living_room_light_1_2,off,2026-03-02T14:04:49.250Z
light.living_room_light_1_2,on,2026-03-02T15:11:31.484Z
light.living_room_light_1_2,off,2026-03-02T16:05:07.071Z
light.living_room_light_1_2,on,2026-03-02T17:03:25.450Z
light.living_room_light_1_2,off,2026-03-02T17:18:08.992Z
light.living_room_light_1_2,on,2026-03-02T19:53:55.400Z
light.living_room_light_1_2,off,2026-03-03T00:37:49.868Z
