entity_id,state,last_changed
sensor.living_room_temperature,21.244492091833333,2026-02-21T00:00:00.000Z
sensor.living_room_temperature,22.00161751455556,2026-02-21T01:00:00.000Z
sensor.living_room_temperature,22.2,2026-02-21T02:00:00.000Z
sensor.living_room_temperature,22.0453907425,2026-02-21T03:00:00.000Z
sensor.living_room_temperature,21.429304053194443,2026-02-21T04:00:00.000Z
sensor.living_room_temperature,20.7,2026-02-21T04:30:00.397Z
sensor.living_room_temperature,20.8,2026-02-21T04:31:56.728Z
sensor.living_room_temperature,20.7,2026-02-21T04:33:59.750Z
sensor.living_room_temperature,20.2,2026-02-21T05:45:31.557Z
sensor.living_room_temperature,19.7,2026-02-21T07:18:35.931Z
sensor.living_room_temperature,19.8,2026-02-21T07:23:07.495Z
sensor.living_room_temperature,19.7,2026-02-21T07:25:10.546Z
sensor.living_room_temperature,19.8,2026-02-21T07:31:15.558Z
sensor.living_room_temperature,19.7,2026-02-21T07:33:10.108Z
sensor.living_room_temperature,19.2,2026-02-21T09:30:55.321Z
sensor.living_room_temperature,18.6,2026-02-21T09:32:06.545Z
sensor.living_room_temperature,18.9,2026-02-21T09:35:22.901Z
sensor.living_room_temperature,19.2,2026-02-21T09:38:26.104Z
sensor.living_room_temperature,19.3,2026-02-21T09:57:32.897Z
sensor.living_room_temperature,19.2,2026-02-21T10:05:59.054Z
sensor.living_room_temperature,19.3,2026-02-21T10:16:49.257Z
sensor.living_room_temperature,19.2,2026-02-21T10:22:47.413Z
sensor.living_room_temperature,19.8,2026-02-21T10:42:22.219Z
sensor.living_room_temperature,20.3,2026-02-21T11:09:57.884Z
sensor.living_room_temperature,20.8,2026-02-21T11:35:24.662Z
sensor.living_room_temperature,21.3,2026-02-21T11:59:12.968Z
sensor.living_room_temperature,21.8,2026-02-21T12:20:13.895Z
sensor.living_room_temperature,22.3,2026-02-21T12:57:10.171Z
sensor.living_room_temperature,22.2,2026-02-21T13:30:11.947Z
sensor.living_room_temperature,21.7,2026-02-21T15:00:57.393Z
sensor.living_room_temperature,21.8,2026-02-21T15:39:26.985Z
sensor.living_room_temperature,21.7,2026-02-21T17:27:07.633Z
sensor.living_room_temperature,21.2,2026-02-21T19:27:20.445Z
sensor.living_room_temperature,21.3,2026-02-21T19:56:29.443Z
sensor.living_room_temperature,21.2,2026-02-21T20:04:53.491Z
sensor.living_room_temperature,21.3,2026-02-21T20:06:56.471Z
sensor.living_room_temperature,21.2,2026-02-21T20:16:57.151Z
sensor.living_room_temperature,20.7,2026-02-21T21:25:44.215Z
sensor.living_room_temperature,20.8,2026-02-21T21:42:27.524Z
sensor.living_room_temperature,21.2,2026-02-21T22:06:36.954Z
sensor.living_room_temperature,21.8,2026-02-21T22:36:31.198Z
sensor.living_room_temperature,22.3,2026-02-21T22:57:45.494Z
sensor.living_room_temperature,22.8,2026-02-21T23:43:20.709Z
sensor.living_room_temperature,22.7,2026-02-21T23:44:57.162Z
sensor.living_room_temperature,22.8,2026-02-21T23:54:54.346Z
sensor.living_room_temperature,22.7,2026-02-21T23:55:51.669Z
sensor.living_room_temperature,22.8,2026-02-22T00:07:05.969Z
sensor.living_room_temperature,22.7,2026-02-22T00:08:23.748Z
sensor.living_room_temperature,22.8,2026-02-22T00:10:24.829Z
sensor.living_room_temperature,22.7,2026-02-22T00:11:32.843Z
sensor.living_room_temperature,22.8,2026-02-22T00:20:54.149Z
sensor.living_room_temperature,22.7,2026-02-22T01:45:51.608Z
sensor.living_room_temperature,22.8,2026-02-22T01:48:34.084Z
sensor.living_room_temperature,22.7,2026-02-22T01:51:02.933Z
sensor.living_room_temperature,22.2,2026-02-22T02:33:14.188Z
sensor.living_room_temperature,21.7,2026-02-22T03:25:17.834Z
sensor.living_room_temperature,21.2,2026-02-22T04:37:30.062Z
sensor.living_room_temperature,20.7,2026-02-22T06:36:00.887Z
sensor.living_room_temperature,20.2,2026-02-22T08:28:22.573Z
sensor.living_room_temperature,19.4,2026-02-22T09:31:51.828Z
sensor.living_room_temperature,19.8,2026-02-22T09:35:55.544Z
sensor.living_room_temperature,20.3,2026-02-22T10:36:03.579Z
sensor.living_room_temperature,20.8,2026-02-22T10:50:09.316Z
sensor.living_room_temperature,21.2,2026-02-22T11:17:41.549Z
sensor.living_room_temperature,21.8,2026-02-22T11:41:18.202Z
sensor.living_room_temperature,22.3,2026-02-22T11:55:15.220Z
sensor.living_room_temperature,22.2,2026-02-22T13:28:36.403Z
sensor.living_room_temperature,21.7,2026-02-22T14:30:37.270Z
sensor.living_room_temperature,21.8,2026-02-22T15:25:50.501Z
sensor.living_room_temperature,22.3,2026-02-22T15:57:22.317Z
sensor.living_room_temperature,22.2,2026-02-22T16:31:45.378Z
sensor.living_room_temperature,22.3,2026-02-22T16:47:44.070Z
sensor.living_room_temperature,22.2,2026-02-22T17:28:33.892Z
sensor.living_room_temperature,22.3,2026-02-22T19:29:10.109Z
sensor.living_room_temperature,22.8,2026-02-22T19:47:57.839Z
sensor.living_room_temperature,22.7,2026-02-23T00:39:26.571Z
sensor.living_room_temperature,22.2,2026-02-23T01:27:50.565Z
sensor.living_room_temperature,21.7,2026-02-23T02:26:53.950Z
sensor.living_room_temperature,21.2,2026-02-23T03:44:36.965Z
sensor.living_room_temperature,20.7,2026-02-23T05:19:50.207Z
sensor.living_room_temperature,20.2,2026-02-23T07:24:17.120Z
sensor.living_room_temperature,19.7,2026-02-23T09:31:05.766Z
sensor.living_room_temperature,19.2,2026-02-23T09:31:42.100Z
sensor.living_room_temperature,19.3,2026-02-23T09:33:44.706Z
sensor.living_room_temperature,19.8,2026-02-23T09:37:49.165Z
sensor.living_room_temperature,20.3,2026-02-23T10:59:39.671Z
sensor.living_room_temperature,20.8,2026-02-23T11:19:41.504Z
sensor.living_room_temperature,21.2,2026-02-23T12:27:04.531Z
sensor.living_room_temperature,21.8,2026-02-23T12:52:12.678Z
sensor.living_room_temperature,22.3,2026-02-23T13:22:48.602Z
sensor.living_room_temperature,22.2,2026-02-23T14:47:57.246Z
sensor.living_room_temperature,22.3,2026-02-23T14:52:01.455Z
sensor.living_room_temperature,22.2,2026-02-23T14:56:05.272Z
sensor.living_room_temperature,21.7,2026-02-23T16:23:11.421Z
sensor.living_room_temperature,21.2,2026-02-23T17:24:34.953Z
sensor.living_room_temperature,21.3,2026-02-23T19:58:06.038Z
sensor.living_room_temperature,21.2,2026-02-23T20:13:37.391Z
sensor.living_room_temperature,21.3,2026-02-23T21:03:42.803Z
sensor.living_room_temperature,21.2,2026-02-23T21:37:10.808Z
sensor.living_room_temperature,20.7,2026-02-23T22:46:25.834Z
sensor.living_room_temperature,20.8,2026-02-23T22:48:29.206Z
sensor.living_room_temperature,20.7,2026-02-24T01:09:20.784Z
sensor.living_room_temperature,20.2,2026-02-24T02:49:38.403Z
sensor.living_room_temperature,19.7,2026-02-24T05:04:23.643Z
sensor.living_room_temperature,19.8,2026-02-24T05:06:26.928Z
sensor.living_room_temperature,19.7,2026-02-24T05:07:22.254Z
sensor.living_room_temperature,19.8,2026-02-24T06:32:17.845Z
sensor.living_room_temperature,20.2,2026-02-24T06:47:38.242Z
sensor.living_room_temperature,19.6,2026-02-24T09:31:33.030Z
sensor.living_room_temperature,19.8,2026-02-24T09:33:36.676Z
sensor.living_room_temperature,20.3,2026-02-24T09:39:43.198Z
sensor.living_room_temperature,20.2,2026-02-24T09:50:30.340Z
sensor.living_room_temperature,19.7,2026-02-24T13:13:32.916Z
sensor.living_room_temperature,19.8,2026-02-24T13:15:39.401Z
sensor.living_room_temperature,19.7,2026-02-24T13:39:43.786Z
sensor.living_room_temperature,19.8,2026-02-24T13:53:13.238Z
sensor.living_room_temperature,19.7,2026-02-24T13:55:15.968Z
sensor.living_room_temperature,19.8,2026-02-24T14:03:13.548Z
sensor.living_room_temperature,19.7,2026-02-24T14:07:17.065Z
sensor.living_room_temperature,19.8,2026-02-24T14:08:42.792Z
sensor.living_room_temperature,19.7,2026-02-24T14:18:44.551Z
sensor.living_room_temperature,19.8,2026-02-24T14:20:48.033Z
sensor.living_room_temperature,19.7,2026-02-24T17:57:40.943Z
sensor.living_room_temperature,19.8,2026-02-24T18:34:40.130Z
sensor.living_room_temperature,20.2,2026-02-24T18:53:05.090Z
sensor.living_room_temperature,20.8,2026-02-24T19:08:57.686Z
sensor.living_room_temperature,21.3,2026-02-24T19:29:02.458Z
sensor.living_room_temperature,21.8,2026-02-24T20:05:31.753Z
sensor.living_room_temperature,21.7,2026-02-25T01:08:40.199Z
sensor.living_room_temperature,21.2,2026-02-25T02:08:45.124Z
sensor.living_room_temperature,20.7,2026-02-25T03:21:20.731Z
sensor.living_room_temperature,20.2,2026-02-25T04:56:29.120Z
sensor.living_room_temperature,20.3,2026-02-25T07:25:21.744Z
sensor.living_room_temperature,19.8,2026-02-25T09:31:30.980Z
sensor.living_room_temperature,20.2,2026-02-25T09:36:07.200Z
sensor.living_room_temperature,19.7,2026-02-25T15:28:41.228Z
sensor.living_room_temperature,19.8,2026-02-25T15:39:10.848Z
sensor.living_room_temperature,19.7,2026-02-25T15:41:14.509Z
sensor.living_room_temperature,19.8,2026-02-25T16:20:51.890Z
sensor.living_room_temperature,19.7,2026-02-25T16:29:16.598Z
sensor.living_room_temperature,19.8,2026-02-25T19:24:34.772Z
sensor.living_room_temperature,20.3,2026-02-25T19:41:10.015Z
sensor.living_room_temperature,20.8,2026-02-25T20:03:07.860Z
sensor.living_room_temperature,21.3,2026-02-25T20:28:10.205Z
sensor.living_room_temperature,21.8,2026-02-25T20:55:45.358Z
sensor.living_room_temperature,21.7,2026-02-26T00:37:52.711Z
sensor.living_room_temperature,21.2,2026-02-26T01:36:24.497Z
sensor.living_room_temperature,20.7,2026-02-26T03:04:02.903Z
sensor.living_room_temperature,20.2,2026-02-26T05:11:48.888Z
sensor.living_room_temperature,20.3,2026-02-26T07:56:13.632Z
sensor.living_room_temperature,20.8,2026-02-26T08:17:49.455Z
sensor.living_room_temperature,20.7,2026-02-26T09:29:53.415Z
sensor.living_room_temperature,20.1,2026-02-26T09:31:08.621Z
sensor.living_room_temperature,20.4,2026-02-26T09:34:53.507Z
sensor.living_room_temperature,20.2,2026-02-26T10:59:46.506Z
sensor.living_room_temperature,19.7,2026-02-26T13:25:18.437Z
sensor.living_room_temperature,19.8,2026-02-26T17:05:39.044Z
sensor.living_room_temperature,20.2,2026-02-26T17:23:19.041Z
sensor.living_room_temperature,20.8,2026-02-26T17:48:57.796Z
