entity_id,state,last_changed
switch.smart_socket_socket,on,2026-02-21T15:28:42.705Z
switch.smart_socket_socket,off,2026-02-21T16:28:43.292Z
switch.smart_socket_socket,on,2026-02-21T17:59:03.266Z
switch.smart_socket_socket,off,2026-02-21T18:59:03.887Z
switch.smart_socket_socket,on,2026-02-22T20:49:55.253Z
switch.smart_socket_socket,off,2026-02-22T20:54:11.365Z
switch.smart_socket_socket,on,2026-02-22T22:00:52.899Z
switch.smart_socket_socket,off,2026-02-22T22:23:57.166Z
switch.smart_socket_socket,on,2026-02-22T22:25:29.766Z
switch.smart_socket_socket,off,2026-02-22T23:25:30.474Z
switch.smart_socket_socket,on,2026-02-24T22:30:23.444Z
switch.smart_socket_socket,off,2026-02-24T22:59:21.080Z
switch.smart_socket_socket,on,2026-02-25T20:26:56.678Z
switch.smart_socket_socket,off,2026-02-25T20:46:36.799Z
switch.smart_socket_socket,on,2026-02-26T20:27:19.840Z
switch.smart_socket_socket,off,2026-02-26T20:52:39.704Z
switch.smart_socket_socket,on,2026-02-28T15:10:45.973Z
switch.smart_socket_socket,off,2026-02-28T15:27:55.038Z
switch.smart_socket_socket,on,2026-03-01T15:33:48.515Z
switch.smart_socket_socket,off,2026-03-01T15:54:58.969Z
switch.smart_socket_socket,on,2026-03-01T16:02:02.794Z
switch.smart_socket_socket,off,2026-03-01T16:22:43.427Z
