entity_id,state,last_changed
sensor.0xa4c1380ec74887e7_temperature,21.010004295722222,2026-02-21T00:00:00.000Z
sensor.0xa4c1380ec74887e7_temperature,22.01045849383333,2026-02-21T01:00:00.000Z
sensor.0xa4c1380ec74887e7_temperature,21.846901721722222,2026-02-21T02:00:00.000Z
sensor.0xa4c1380ec74887e7_temperature,21.27839308538889,2026-02-21T03:00:00.000Z
sensor.0xa4c1380ec74887e7_temperature,20.85350832861111,2026-02-21T04:00:00.000Z
sensor.0xa4c1380ec74887e7_temperature,20.4,2026-02-21T04:15:47.881Z
sensor.0xa4c1380ec74887e7_temperature,20.2,2026-02-21T04:39:58.090Z
sensor.0xa4c1380ec74887e7_temperature,20,2026-02-21T05:34:20.764Z
sensor.0xa4c1380ec74887e7_temperature,19.8,2026-02-21T06:04:02.961Z
sensor.0xa4c1380ec74887e7_temperature,19.6,2026-02-21T06:37:16.372Z
sensor.0xa4c1380ec74887e7_temperature,19.4,2026-02-21T07:13:30.745Z
sensor.0xa4c1380ec74887e7_temperature,19.3,2026-02-21T08:13:30.462Z
sensor.0xa4c1380ec74887e7_temperature,19.1,2026-02-21T08:55:46.890Z
sensor.0xa4c1380ec74887e7_temperature,19,2026-02-21T09:55:46.013Z
sensor.0xa4c1380ec74887e7_temperature,19.2,2026-02-21T10:22:56.424Z
sensor.0xa4c1380ec74887e7_temperature,19.4,2026-02-21T10:33:30.547Z
sensor.0xa4c1380ec74887e7_temperature,19.6,2026-02-21T10:37:01.931Z
sensor.0xa4c1380ec74887e7_temperature,19.8,2026-02-21T10:40:03.140Z
sensor.0xa4c1380ec74887e7_temperature,20,2026-02-21T10:43:34.574Z
sensor.0xa4c1380ec74887e7_temperature,20.2,2026-02-21T10:48:36.655Z
sensor.0xa4c1380ec74887e7_temperature,20.4,2026-02-21T10:53:08.556Z
sensor.0xa4c1380ec74887e7_temperature,20.6,2026-02-21T10:59:11.129Z
sensor.0xa4c1380ec74887e7_temperature,20.8,2026-02-21T11:05:43.945Z
sensor.0xa4c1380ec74887e7_temperature,21,2026-02-21T11:13:17.234Z
sensor.0xa4c1380ec74887e7_temperature,21.2,2026-02-21T11:19:50.138Z
sensor.0xa4c1380ec74887e7_temperature,21.4,2026-02-21T11:33:56.474Z
sensor.0xa4c1380ec74887e7_temperature,21.6,2026-02-21T11:40:29.454Z
sensor.0xa4c1380ec74887e7_temperature,21.8,2026-02-21T11:48:02.934Z
sensor.0xa4c1380ec74887e7_temperature,22,2026-02-21T11:57:37.369Z
sensor.0xa4c1380ec74887e7_temperature,22.2,2026-02-21T12:05:41.166Z
sensor.0xa4c1380ec74887e7_temperature,22.4,2026-02-21T12:15:15.748Z
sensor.0xa4c1380ec74887e7_temperature,22.6,2026-02-21T12:23:49.913Z
sensor.0xa4c1380ec74887e7_temperature,22.8,2026-02-21T12:34:25.113Z
sensor.0xa4c1380ec74887e7_temperature,23,2026-02-21T12:43:59.895Z
sensor.0xa4c1380ec74887e7_temperature,22.8,2026-02-21T13:11:13.523Z
sensor.0xa4c1380ec74887e7_temperature,22.6,2026-02-21T13:26:51.234Z
