entity_id,state,last_changed
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T05:44:45.806Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T05:44:46.813Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T09:12:30.443Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T09:12:32.491Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T09:19:24.897Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T09:19:28.955Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T09:19:29.902Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T09:19:35.925Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T09:19:36.946Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T09:19:43.930Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T09:21:31.048Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T09:21:42.077Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:10:43.545Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:10:45.510Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:10:47.546Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:10:48.562Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:11:10.579Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:11:11.602Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:11:12.540Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:11:14.572Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:11:27.577Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:11:29.625Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:11:30.567Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:11:33.619Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:12:18.675Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:12:26.662Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:12:44.686Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:12:52.679Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:13:42.747Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:13:46.740Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:22:46.398Z
binary_sensor.esphome_web_f81704_moving_target,off,2026-02-21T10:22:50.411Z
binary_sensor.esphome_web_f81704_moving_target,on,2026-02-21T10:23:41.485Z
